#{"t_start": 1642524363.8854158, "env_id": "Ataxx-v0"}
r,l,t
-1.0,2,2.062486
-1.0,2,2.06468
-1.0,3,2.06832
-1.0,3,2.071777
-1.0,1,2.072746
-1.0,5,2.079053
-1.0,4,2.084046
-1.0,5,2.090626
-1.0,1,2.091602
-1.0,1,2.092669
-1,2,2.095436
-1.0,1,2.096447
-1.0,1,2.097411
-1.0,2,2.099778
-1.0,2,2.102046
-1.0,4,2.107045
-1.0,4,2.112098
-1.0,1,2.113063
-1.0,3,2.116653
-1.0,4,2.12163
-1,1,2.1227
-1.0,2,2.124879
-1.0,1,2.125867
-1,1,2.126797
-1.0,2,2.129022
-1.0,2,2.131218
-1.0,3,2.134953
-1.0,1,2.135923
-1.0,2,2.138147
-1.0,2,2.140302
-1.0,2,2.142639
-1,1,2.143566
-1.0,4,2.148303
-1.0,2,2.1504
-1.0,1,2.151431
-1.0,4,2.156507
-1,1,2.157446
-1.0,3,2.161052
-1.0,1,2.162001
-1.0,2,2.164123
-1.0,3,2.167691
-1.0,5,2.174031
-1,3,2.177626
-1.0,4,2.182223
-1,1,2.18324
1,2,2.185977
-1,2,2.188626
-1.0,4,2.193489
-1.0,2,2.195748
-1.0,3,2.199276
-1.0,3,2.202799
-1.0,3,2.206336
-1.0,4,2.211851
-1.0,1,2.212884
-1.0,2,2.215283
-1.0,1,2.216229
-1.0,4,2.221266
-1.0,3,2.224857
-1.0,3,2.228441
-1.0,2,2.230642
-1.0,2,2.232913
-1,2,2.235182
-1.0,1,2.236175
-1.0,1,2.237123
-1.0,1,2.238211
-1,1,2.239154
-1,1,2.240089
-1.0,3,2.243435
-1.0,2,2.245693
-1.0,2,2.247902
-1.0,2,2.250087
-1.0,2,2.252155
-1.0,1,2.2531
-1.0,2,2.255302
-1.0,4,2.259949
-1.0,3,2.263491
-1.0,1,2.264497
-1.0,1,2.265438
-1.0,2,2.267719
-1,1,2.26874
-1.0,5,2.274992
-1.0,2,2.277144
-1.0,3,2.280463
-1.0,2,2.282527
-1.0,3,2.286188
-1.0,5,2.292495
-1.0,2,2.294617
-1.0,4,2.299425
-1.0,1,2.30036
-1.0,1,2.301327
-1,1,2.302327
-1.0,1,2.303348
-1.0,2,2.305599
-1,4,2.310485
-1,2,2.312586
-1.0,5,2.319184
-1.0,5,2.325958
-1.0,2,2.328119
-1.0,2,2.330414
-1.0,1,2.331346
-1.0,3,2.335055
-1.0,3,2.338637
-1.0,2,2.340868
-1.0,2,2.343103
-1.0,2,2.345232
-1,2,2.347406
-1.0,1,2.348349
-1.0,3,2.351882
-1.0,3,2.355624
-1.0,3,2.35912
-1,3,2.362573
-1.0,3,2.366152
-1.0,2,2.368339
-1.0,5,2.374547
-1.0,3,2.378247
-1.0,1,2.379194
-1.0,2,2.381297
-1.0,4,2.386305
-1.0,3,2.389664
-1.0,3,2.393157
-1.0,2,2.395394
-1.0,3,2.398818
-1,2,2.400921
-1.0,2,2.403251
-1.0,4,2.408225
-1.0,3,2.411755
-1.0,4,2.416658
-1.0,3,2.420466
-1.0,1,2.42141
-1.0,5,2.427691
-1.0,1,2.428631
-1.0,3,2.432318
-1.0,1,2.433343
-1.0,2,2.435557
-1.0,2,2.437895
-1.0,1,2.438833
-1.0,3,2.44241
-1.0,3,2.44597
-1.0,1,2.446909
-1.0,2,2.449059
-1.0,2,2.451349
-1.0,2,2.453563
-1.0,3,2.457048
-1.0,3,2.460627
-1.0,1,2.461561
-1,1,2.462613
-1,4,2.46737
-1.0,1,2.468408
-1.0,3,2.471881
-1.0,2,2.474195
-1.0,2,2.476352
-1.0,4,2.481224
-1.0,1,2.482168
-1.0,2,2.484337
-1.0,3,2.487927
-1.0,2,2.490155
-1.0,1,2.491097
-1.0,2,2.493369
-1.0,2,2.495545
