#{"t_start": 1642524363.8854158, "env_id": "Ataxx-v0"}
r,l,t
-1.0,1,2.496483
-1.0,2,2.498654
-1.0,2,2.50079
-1.0,3,2.504483
-1.0,5,2.510865
-1.0,2,2.512989
-1.0,1,2.513981
-1.0,1,2.514917
-1.0,4,2.520234
-1.0,2,2.522365
-1.0,5,2.528558
-1.0,1,2.529505
-1.0,2,2.531664
-1.0,3,2.53525
-1.0,3,2.53878
-1.0,1,2.539717
-1.0,3,2.543215
-1.0,1,2.544158
-1,5,2.55041
-1,1,2.551378
-1.0,2,2.55367
-1.0,1,2.554619
-1,2,2.55675
-1.0,2,2.558928
-1.0,1,2.559866
-1.0,1,2.560799
-1.0,4,2.565762
-1.0,2,2.567916
-1.0,2,2.570043
-1.0,7,2.57945
-1.0,1,2.580396
-1.0,3,2.583833
-1.0,2,2.586041
-1.0,2,2.588193
-1.0,2,2.59044
-1.0,2,2.59247
-1.0,2,2.594651
-1.0,1,2.59568
-1.0,1,2.596617
-1.0,1,2.597548
-1,1,2.598479
-1.0,2,2.600697
-1.0,5,2.607158
-1.0,1,2.608181
-1.0,2,2.610375
-1.0,5,2.616653
-1.0,1,2.617784
-1.0,2,2.619962
-1.0,3,2.623344
-1.0,2,2.625472
-1,3,2.6287
-1.0,3,2.63214
-1.0,5,2.638294
-1.0,1,2.639236
-1.0,3,2.642613
-1.0,1,2.643553
-1.0,2,2.645912
-1.0,2,2.64805
-1.0,1,2.648989
-1.0,2,2.651203
-1.0,1,2.652159
-1,3,2.655647
-1,2,2.657925
-1.0,1,2.658871
-1.0,2,2.660905
-1.0,2,2.663081
-1.0,4,2.66777
-1.0,2,2.670076
-1.0,1,2.671014
-1.0,3,2.674623
-1.0,2,2.676728
-1,2,2.678885
-1.0,5,2.68486
-1.0,2,2.687058
-1.0,4,2.691921
-1.0,2,2.694105
-1,1,2.695031
-1.0,2,2.697174
-1.0,4,2.702029
-1.0,3,2.705446
-1.0,2,2.707628
-1.0,4,2.712603
-1.0,1,2.713582
-1.0,5,2.720019
-1.0,2,2.722238
-1.0,3,2.725684
-1,2,2.727799
-1.0,3,2.731342
-1,2,2.73336
-1.0,3,2.736857
-1.0,3,2.740319
-1.0,4,2.745183
-1.0,4,2.749739
-1.0,1,2.750679
-1.0,4,2.755489
-1.0,2,2.75757
-1.0,2,2.759829
-1.0,2,2.761952
-1.0,2,2.764187
-1.0,1,2.765152
-1.0,1,2.766138
-1.0,1,2.767077
-1.0,2,2.769164
-1.0,1,2.770158
-1,2,2.772373
-1,1,2.773303
-1.0,4,2.777867
-1.0,2,2.780119
-1.0,3,2.783366
-1.0,1,2.784307
-1.0,2,2.786539
-1.0,1,2.787478
-1.0,1,2.788418
-1,1,2.789378
-1.0,2,2.791484
-1.0,2,2.793739
-1,2,2.795877
-1.0,4,2.80055
-1.0,3,2.804046
-1.0,1,2.804994
-1.0,2,2.807274
-1.0,1,2.808263
-1.0,2,2.810481
-1.0,3,2.81404
-1.0,1,2.814981
-1.0,3,2.818529
-1.0,1,2.819542
-1.0,4,2.82437
-1.0,2,2.826743
-1.0,1,2.827691
-1.0,5,2.83423
-1.0,2,2.836432
-1.0,3,2.839884
-1.0,3,2.84332
-1.0,3,2.846648
-1.0,4,2.85129
-1,1,2.852224
-1.0,2,2.854327
-1.0,4,2.858973
-1.0,2,2.861112
-1.0,2,2.86326
-1.0,3,2.866658
-1.0,2,2.868882
-1.0,1,2.869876
-1.0,1,2.870814
-1.0,2,2.872886
-1.0,2,2.875067
-1.0,2,2.877172
-1.0,2,2.87933
-1.0,2,2.881511
-1,3,2.885035
-1.0,1,2.886029
-1,1,2.88701
-1.0,2,2.889159
-1.0,3,2.892748
-1.0,2,2.894893
-1.0,1,2.895831
-1.0,2,2.897966
-1,3,2.901292
-1.0,2,2.903513
-1.0,2,2.905769
-1.0,2,2.907887
-1.0,3,2.91139
-1.0,1,2.912328
-1.0,5,2.918766
-1.0,1,2.919722
-1.0,2,2.921949
-1.0,4,2.926754
-1,2,2.928952
-1,3,2.932449
-1.0,5,2.938797
-1.0,4,2.943837
-1.0,2,2.945997
-1.0,1,2.946965
-1.0,2,2.949126
-1.0,1,2.950077
-1.0,3,2.953587
-1.0,3,2.956896
-1.0,4,2.961797
-1.0,2,2.963999
1,2,2.966703
-1.0,1,2.967963
-1.0,1,2.968918
-1.0,3,2.972357
-1,3,2.975705
-1.0,4,2.98058
-1,2,2.982825
-1.0,1,2.984041
-1.0,4,2.989268
-1.0,3,2.994982
-1.0,1,2.997988
-1.0,1,2.999105
-1.0,2,3.001572
-1.0,1,3.002653
-1.0,5,3.009425
-1.0,2,3.011753
-1,5,3.018874
-1,1,3.019966
-1.0,5,3.027005
-1,1,3.028029
-1.0,1,3.029077
-1.0,2,3.031442
-1.0,3,3.035209
-1.0,3,3.039123
-1,2,3.041428
-1.0,2,3.043875
-1.0,2,3.046152
-1.0,3,3.049682
-1.0,4,3.054694
-1.0,1,3.055688
-1.0,1,3.056733
-1,3,3.06075
-1.0,2,3.063076
1,2,3.065818
-1.0,4,3.070846
-1.0,2,3.073065
-1.0,3,3.076679
-1,3,3.080261
1,2,3.083017
-1.0,2,3.085265
-1.0,1,3.08631
-1.0,3,3.089898
-1.0,2,3.092137
-1.0,4,3.097188
-1.0,2,3.099492
-1.0,2,3.101717
-1.0,2,3.103972
-1.0,1,3.104976
-1.0,3,3.108546
1,2,3.111365
-1.0,2,3.113623
-1.0,2,3.115875
-1.0,1,3.116891
-1.0,3,3.120564
-1.0,1,3.12155
-1.0,1,3.12255
-1.0,2,3.124636
-1,1,3.125604
-1.0,2,3.127959
-1,3,3.131615
-1.0,4,3.136643
-1,1,3.137615
-1.0,6,3.146106
-1.0,5,3.152466
-1.0,5,3.158811
-1.0,2,3.161057
-1.0,1,3.16205
-1.0,1,3.163024
-1.0,3,3.166723
-1.0,3,3.170367
-1.0,3,3.174116
-1.0,2,3.176352
-1.0,1,3.177365
-1,1,3.178338
-1.0,4,3.183589
-1.0,1,3.184594
-1.0,2,3.186844
-1,2,3.188959
-1.0,2,3.191235
-1,1,3.192194
-1.0,3,3.195671
-1.0,1,3.19665
-1.0,3,3.200246
-1.0,3,3.203912
-1.0,3,3.207402
-1.0,2,3.20963
-1.0,1,3.210682
-1.0,2,3.213131
-1.0,2,3.215572
1,2,3.218319
-1.0,2,3.220605
-1.0,1,3.221577
-1.0,4,3.2896
-1.0,1,3.290722
-1.0,4,3.295792
-1.0,1,3.296768
-1.0,3,3.300251
-1.0,5,3.306341
-1.0,1,3.307307
-1.0,1,3.308269
-1.0,2,3.310604
-1.0,4,3.316325
-1.0,3,3.321229
-1,1,3.322772
-1.0,1,3.324242
-1.0,1,3.330758
-1.0,1,3.33414
-1,1,3.335798
-1.0,4,3.355199
-1.0,2,3.364244
-1.0,3,3.375908
-1.0,2,3.386511
-1.0,1,3.387637
-1.0,1,3.395542
-1.0,3,3.407251
-1.0,2,3.417603
-1.0,5,3.437014
-1,1,3.440072
-1.0,2,3.447302
-1.0,6,3.47882
-1.0,3,3.485552
-1.0,2,3.489468
-1.0,2,3.494203
-1.0,1,3.495217
-1.0,2,3.498103
-1.0,5,3.506734
-1.0,2,3.509194
-1.0,1,3.510652
-1.0,2,3.512978
-1.0,3,3.517581
-1.0,2,3.523834
-1.0,3,3.528206
-1.0,3,3.532661
-1.0,3,3.537228
-1.0,2,3.540136
-1.0,2,3.544553
-1.0,1,3.545528
-1.0,2,3.547768
-1.0,3,3.551337
-1.0,2,3.553575
-1.0,2,3.555768
-1.0,3,3.560197
-1.0,1,3.561679
-1.0,3,3.566062
-1.0,2,3.568819
-1.0,2,3.572246
-1.0,1,3.573306
-1.0,1,3.57432
-1.0,3,3.578048
-1,1,3.579097
-1.0,1,3.580163
-1.0,5,3.586716
-1.0,2,3.589123
-1.0,1,3.590278
-1.0,1,3.591324
-1.0,2,3.59377
-1.0,2,3.596385
-1,4,3.602627
-1.0,2,3.605349
-1.0,1,3.606605
-1.0,4,3.613997
-1.0,2,3.616883
-1.0,4,3.623677
-1.0,4,3.630272
-1.0,7,3.644183
-1.0,4,3.65139
-1.0,2,3.654327
-1.0,2,3.65752
-1.0,4,3.664184
-1.0,3,3.668782
-1.0,1,3.670062
-1.0,4,3.676435
-1.0,4,3.682471
-1.0,2,3.68527
-1.0,2,3.688152
-1.0,4,3.694509
-1.0,1,3.695692
-1.0,5,3.704497
-1,2,3.708298
-1,1,3.709744
-1.0,3,3.714695
-1,1,3.716031
1,2,3.720618
-1,2,3.723993
-1,1,3.725278
-1.0,2,3.728877
-1.0,2,3.732352
-1.0,2,3.735677
-1.0,2,3.738683
-1.0,1,3.740064
-1.0,1,3.741502
-1.0,3,3.746235
-1.0,3,3.752166
-1.0,2,3.755425
-1.0,2,3.758436
-1.0,2,3.761618
-1.0,5,3.77106
-1.0,2,3.774307
-1.0,3,3.779294
-1.0,3,3.784208
-1.0,2,3.788611
-1.0,1,3.790324
-1.0,3,3.79712
-1.0,2,3.801198
-1.0,1,3.802905
-1,1,3.804531
-1.0,2,3.80819
-1.0,2,3.811818
-1.0,2,3.815376
-1.0,1,3.816786
-1.0,2,3.819945
-1.0,5,3.828644
-1.0,2,3.831855
-1.0,3,3.837308
-1.0,2,3.840575
-1,1,3.841913
-1.0,1,3.843227
-1.0,2,3.846646
-1.0,1,3.848125
-1.0,4,3.855275
-1.0,3,3.860204
-1.0,2,3.86331
-1,2,3.866222
-1.0,2,3.869364
-1,2,3.872382
-1.0,2,3.87565
-1,1,3.877403
-1.0,3,3.88282
-1.0,5,3.893698
-1.0,3,3.899011
-1.0,3,3.904294
-1.0,2,3.907416
1,2,3.910982
-1.0,4,3.917115
-1.0,2,3.920288
-1.0,4,3.926443
-1.0,3,3.930961
-1.0,1,3.932317
-1.0,4,3.93939
-1.0,3,3.944322
-1.0,3,3.949475
-1.0,3,3.954727
-1.0,3,3.959641
-1.0,1,3.9611
-1.0,1,3.962402
-1.0,3,3.967131
-1.0,4,3.97374
-1.0,2,3.976566
-1.0,5,3.985813
-1.0,3,3.991043
-1.0,4,3.997573
-1,1,3.998849
-1,2,4.001778
-1.0,1,4.003116
1,4,4.010254
-1,4,4.01754
-1.0,3,4.02357
-1.0,2,4.026773
-1.0,1,4.02808
-1.0,3,4.033267
-1,1,4.03465
-1.0,3,4.039662
-1.0,2,4.042403
-1.0,2,4.045483
-1.0,1,4.046911
-1.0,3,4.052166
-1.0,3,4.056933
-1.0,4,4.063348
-1.0,3,4.068115
-1.0,2,4.070992
-1.0,4,4.077232
-1.0,1,4.078538
-1.0,2,4.081494
-1.0,1,4.082876
-1.0,1,4.084177
-1,1,4.085839
-1,2,4.090149
-1.0,2,4.094142
-1.0,2,4.097181
-1.0,1,4.098485
-1.0,1,4.099677
-1.0,3,4.104718
-1.0,2,4.107574
-1.0,3,4.112179
-1.0,1,4.113363
-1.0,5,4.121748
-1.0,2,4.124861
-1,4,4.131659
-1.0,1,4.132869
-1.0,1,4.134059
-1.0,2,4.136747
-1.0,4,4.142711
-1.0,4,4.148578
-1.0,3,4.153242
-1.0,1,4.154503
-1.0,3,4.159665
-1.0,1,4.16091
-1.0,2,4.164778
-1,1,4.166349
-1.0,6,4.180517
-1.0,1,4.181916
-1.0,3,4.187122
-1.0,1,4.188431
-1.0,5,4.197624
-1.0,6,4.210248
-1.0,5,4.22079
-1,1,4.222237
-1.0,1,4.223427
-1.0,4,4.230728
-1.0,1,4.232303
-1,2,4.23582
-1.0,4,4.242326
-1.0,2,4.245578
-1.0,1,4.246836
-1.0,3,4.251426
-1.0,1,4.252752
-1.0,2,4.256607
-1.0,3,4.261068
-1.0,7,4.275677
-1.0,3,4.279902
-1,1,4.281074
-1.0,2,4.28373
-1.0,3,4.288033
-1.0,1,4.289195
-1,1,4.290322
-1,1,4.291486
-1.0,4,4.297566
-1.0,4,4.304131
-1.0,5,4.312023
-1,2,4.315116
-1.0,2,4.318022
1,2,4.321138
-1.0,1,4.32224
-1.0,5,4.328434
-1.0,5,4.334983
-1.0,1,4.335983
-1.0,2,4.338212
-1.0,1,4.33917
-1.0,2,4.341334
-1.0,4,4.346422
-1.0,2,4.348548
-1.0,4,4.353528
-1.0,2,4.355781
-1.0,3,4.359138
-1.0,5,4.365228
-1.0,3,4.36881
-1.0,3,4.372419
-1.0,1,4.373443
-1.0,3,4.377021
-1.0,2,4.379263
-1.0,3,4.382746
-1.0,4,4.38781
-1.0,2,4.389979
-1.0,2,4.392122
-1.0,1,4.39305
-1.0,5,4.399328
-1.0,1,4.400268
-1.0,6,4.407713
-1.0,3,4.411256
-1.0,2,4.413544
-1.0,3,4.4172
-1.0,2,4.419573
-1.0,1,4.420773
-1,3,4.424536
-1.0,1,4.425517
-1.0,5,4.431875
-1.0,1,4.432819
-1,1,4.433955
-1.0,2,4.436336
-1.0,3,4.439778
-1.0,1,4.440714
-1.0,4,4.446152
-1.0,1,4.447091
-1.0,4,4.45224
-1.0,6,4.46068
-1.0,3,4.464693
-1.0,3,4.46847
-1.0,4,4.475237
-1.0,3,4.478843
-1.0,5,4.485304
-1.0,2,4.487607
-1.0,4,4.49241
-1,3,4.4958
-1.0,4,4.501744
-1.0,2,4.503907
-1.0,1,4.504876
-1.0,2,4.507024
-1.0,2,4.509122
-1.0,2,4.511234
-1.0,4,4.516198
-1.0,2,4.518895
-1.0,4,4.523943
-1.0,3,4.527499
-1.0,1,4.528458
-1.0,4,4.533158
-1.0,2,4.535491
-1.0,4,4.54034
-1.0,1,4.54157
-1.0,1,4.54289
-1.0,3,4.546362
-1.0,3,4.549811
-1.0,2,4.55196
-1.0,3,4.555562
-1.0,3,4.559078
-1.0,6,4.566826
-1.0,2,4.569064
-1.0,3,4.573317
-1.0,2,4.575747
-1.0,4,4.581179
-1.0,2,4.583435
-1.0,2,4.585901
-1.0,3,4.58956
-1.0,1,4.590666
-1.0,2,4.593068
-1.0,2,4.595606
-1.0,2,4.597942
-1.0,2,4.600214
-1,2,4.602649
1,6,4.612165
-1.0,2,4.614622
-1.0,4,4.620035
1,2,4.622866
-1.0,1,4.624039
-1,1,4.625049
-1.0,1,4.626173
-1.0,1,4.627486
-1.0,3,4.631429
-1.0,1,4.632681
-1.0,2,4.635628
-1.0,4,4.642479
-1.0,2,4.646641
-1.0,4,4.654132
-1.0,3,4.659451
-1.0,3,4.664668
-1.0,1,4.66587
-1.0,3,4.67145
-1.0,4,4.678465
-1.0,3,4.683504
-1.0,1,4.684806
-1.0,2,4.688504
-1.0,3,4.693475
-1.0,4,4.699734
-1.0,4,4.706452
-1.0,4,4.711779
-1.0,4,4.717478
-1.0,5,4.724387
-1.0,2,4.726787
-1.0,2,4.729222
-1.0,5,4.736373
-1.0,5,4.743376
-1.0,4,4.74839
-1,1,4.749527
-1.0,1,4.7505
-1.0,6,4.758478
-1.0,2,4.761271
-1.0,3,4.764698
1,2,4.768235
-1.0,1,4.769221
-1.0,1,4.770172
-1,1,4.771582
-1.0,5,4.778656
-1.0,2,4.78116
-1.0,1,4.782122
-1.0,2,4.784848
-1.0,3,4.788444
-1,3,4.792758
-1.0,1,4.793719
-1.0,2,4.796343
-1.0,2,4.798765
-1.0,1,4.799711
-1.0,5,4.806604
-1.0,1,4.807801
-1,1,4.808893
-1.0,1,4.810121
-1.0,3,4.813708
-1.0,2,4.816332
-1.0,2,4.818573
-1.0,5,4.826051
-1.0,3,4.829715
-1.0,1,4.830657
-1,1,4.831969
-1.0,2,4.834311
-1.0,2,4.836512
-1.0,2,4.838898
-1,3,4.843085
-1.0,3,4.847308
-1.0,2,4.849462
-1,4,4.854791
-1.0,2,4.857195
-1.0,3,4.860857
-1.0,2,4.863389
-1.0,2,4.865789
-1.0,3,4.869612
-1,4,4.878905
-1.0,1,4.880055
-1,1,4.881173
-1.0,2,4.883529
-1.0,3,4.887322
-1.0,3,4.890945
-1.0,4,4.896347
-1.0,1,4.897295
-1,2,4.900654
-1.0,5,4.908104
-1.0,1,4.909053
-1.0,1,4.910033
-1.0,3,4.913769
-1.0,2,4.915882
-1.0,2,4.918537
-1.0,2,4.920832
-1.0,3,4.924862
-1,2,4.927153
-1.0,3,4.931383
-1,4,4.937
-1,2,6.17243
-1.0,3,6.176158
-1.0,2,6.178376
-1,1,6.179341
-1.0,3,6.182922
-1.0,3,6.186426
-1,1,6.187371
-1.0,1,6.188327
-1.0,3,6.191872
-1.0,2,6.194124
-1.0,1,6.195075
-1.0,1,6.196015
-1.0,1,6.196965
-1.0,3,6.20053
-1.0,1,6.201485
-1.0,3,6.204988
-1.0,2,6.207198
-1.0,3,6.210874
-1,2,6.213182
-1.0,2,6.215533
-1.0,4,6.220259
-1.0,3,6.224036
-1.0,3,6.227442
-1.0,3,6.231017
-1.0,3,6.234537
-1.0,2,6.236679
-1.0,7,6.245526
1,2,6.248178
-1.0,4,6.253157
-1.0,4,6.258046
-1.0,4,6.262556
-1.0,2,6.264642
-1,2,6.266739
-1.0,4,6.271405
-1.0,2,6.273579
-1.0,3,6.27698
-1.0,2,6.279169
-1.0,2,6.282079
-1,3,6.285528
-1.0,1,6.286694
-1.0,3,6.290132
-1,4,6.294738
-1.0,2,6.296884
-1.0,2,6.299106
-1.0,5,6.305511
-1.0,2,6.307818
-1.0,6,6.31542
-1.0,5,6.322576
-1.0,2,6.324827
-1.0,1,6.32582
-1.0,3,6.329362
-1,1,6.330342
-1.0,3,6.334015
-1.0,2,6.336286
-1.0,2,6.338491
-1.0,4,6.343418
-1.0,1,6.344412
-1.0,4,6.349682
-1.0,3,6.353319
-1.0,2,6.355535
-1,1,6.356488
-1.0,3,6.360096
-1.0,2,6.362363
-1.0,4,6.36727
-1.0,3,6.370852
-1,3,6.374428
-1.0,2,6.37663
-1,3,6.380137
-1.0,4,6.38509
-1,5,6.391273
-1,1,6.392399
-1.0,1,6.393441
-1.0,5,6.399726
-1,2,6.402028
-1.0,3,6.405599
-1.0,1,6.406589
-1.0,3,6.410085
-1.0,2,6.412269
-1.0,2,6.414465
-1.0,2,6.416651
-1,2,6.41903
-1.0,6,6.427033
-1.0,3,6.43057
-1.0,2,6.432944
-1.0,3,6.436505
-1.0,2,6.438738
-1.0,1,6.439716
-1.0,2,6.441932
-1.0,4,6.446858
-1.0,3,6.450244
1,2,6.452998
-1.0,1,6.454001
-1.0,1,6.454981
-1.0,2,6.457146
-1.0,1,6.458126
-1,5,6.464343
-1,6,6.472326
-1.0,1,6.473363
-1.0,5,6.47964
-1.0,3,6.483117
-1.0,5,6.489645
-1.0,4,6.494449
-1.0,4,6.499428
-1.0,1,6.500456
-1.0,3,6.503953
-1.0,3,6.507421
-1.0,6,6.514956
-1.0,4,6.519911
-1,2,6.522099
-1.0,3,6.525666
-1.0,1,6.526637
-1.0,2,6.528861
-1.0,3,6.532423
-1,3,6.536554
-1.0,2,6.538801
-1.0,2,6.541164
-1.0,1,6.542159
-1.0,2,6.544377
-1.0,2,6.546592
-1.0,4,6.551671
-1,3,6.555059
-1.0,4,6.559915
-1.0,2,6.562272
-1.0,2,6.564469
-1.0,1,6.565437
-1.0,3,6.56901
-1.0,2,6.571215
-1,2,6.573457
-1.0,3,6.576851
-1.0,1,6.57784
-1.0,1,6.578809
-1.0,2,6.581112
-1.0,3,6.584769
-1.0,3,6.58827
-1.0,4,6.593455
-1.0,2,6.595693
-1,3,6.599356
-1.0,4,6.604189
-1.0,4,6.609051
-1.0,1,6.610041
-1.0,5,6.61629
-1,1,6.617259
-1.0,1,6.618278
-1.0,3,6.621778
-1.0,2,6.623917
-1.0,4,6.628734
-1.0,1,6.629711
-1,2,6.631865
-1,1,6.632821
-1.0,3,6.636367
-1.0,3,6.640023
-1,2,6.642717
-1.0,4,6.647527
-1.0,3,6.651058
-1,1,6.652066
-1.0,2,6.654396
-1.0,3,6.657873
-1.0,4,6.662626
-1.0,2,6.664812
-1.0,2,6.666986
-1.0,3,6.670505
-1.0,1,6.671486
-1.0,1,6.672446
-1.0,2,6.674693
-1.0,6,6.682388
-1.0,4,6.687369
-1.0,3,6.690807
-1.0,1,6.691764
-1.0,1,6.692713
-1.0,4,6.697405
-1.0,5,6.703857
-1.0,2,6.706105
-1,1,6.707051
-1.0,2,6.709233
-1.0,2,6.711355
-1.0,3,6.714903
-1.0,2,6.717073
-1,2,6.719232
-1.0,3,6.722782
-1.0,2,6.724925
-1.0,2,6.727078
-1.0,3,6.730473
-1.0,1,6.731407
-1.0,1,6.732336
-1.0,2,6.734552
-1.0,2,6.736703
-1.0,1,6.737644
-1.0,2,6.739817
-1.0,2,6.741857
-1,4,6.746396
-1.0,4,6.751055
-1.0,2,6.753115
-1.0,3,6.7566
-1.0,2,6.75869
-1.0,4,6.763274
-1.0,1,6.764208
-1.0,1,6.765323
-1.0,1,6.766417
-1.0,5,6.772588
-1.0,1,6.77358
-1.0,2,6.775701
-1.0,2,6.777869
-1.0,2,6.780026
-1.0,3,6.783321
-1.0,3,6.786862
-1.0,3,6.790313
-1.0,2,6.792606
-1.0,2,6.794797
-1.0,1,6.795738
-1.0,4,6.800753
-1.0,1,6.801825
-1.0,2,6.803993
-1.0,4,6.808976
-1.0,2,6.811201
-1.0,2,6.813358
-1,2,6.815874
-1,1,6.816816
-1.0,3,6.820836
-1.0,2,6.823246
-1.0,3,6.826743
-1.0,1,6.827694
-1.0,5,6.834473
-1.0,4,6.839543
-1,2,6.841806
-1,1,6.842746
-1.0,5,6.849092
-1,2,6.851454
-1.0,5,6.857535
-1.0,1,6.858588
-1.0,3,6.862324
-1.0,6,6.870469
-1,4,6.875249
-1.0,1,6.876244
-1.0,3,6.879874
-1.0,6,6.888064
-1.0,2,6.890387
-1.0,3,6.893751
-1.0,1,6.894686
-1.0,5,6.900867
-1.0,3,6.904302
-1.0,3,6.907815
-1.0,1,6.908809
-1.0,3,6.912215
-1.0,2,6.914337
-1.0,4,6.919236
-1.0,5,6.92559
-1,1,6.926572
-1.0,2,6.928754
-1,2,6.930941
-1,1,6.932019
-1.0,3,6.935573
-1,5,6.941659
-1.0,5,6.947788
-1.0,1,6.948741
-1.0,2,6.950931
-1.0,4,6.955728
-1.0,4,6.960468
-1.0,2,6.962698
-1.0,4,6.96757
-1.0,1,6.96853
-1.0,3,6.971942
-1.0,4,6.976866
-1.0,3,6.980495
-1.0,3,6.983877
-1,1,6.984832
-1.0,3,6.988127
-1.0,4,6.993172
-1,3,6.996772
-1,2,6.999009
-1.0,4,7.003943
-1.0,3,7.007343
-1.0,3,7.010919
-1,7,7.020052
-1.0,4,7.026119
-1.0,4,7.030979
-1,2,7.03361
-1.0,4,7.038448
-1.0,2,7.040625
-1.0,4,7.045367
-1.0,1,7.046352
1,2,7.049014
-1.0,2,7.051137
-1.0,5,7.057261
-1.0,5,7.06328
-1.0,2,7.065531
-1.0,2,7.067679
1,2,7.070368
-1.0,1,7.071358
-1.0,2,7.073468
-1.0,2,7.07552
-1.0,4,7.080377
-1.0,6,7.087579
-1.0,1,7.088569
-1.0,3,7.091957
-1,1,7.092877
-1.0,5,7.099218
-1.0,2,7.101499
-1.0,3,7.105013
-1.0,1,7.10605
-1.0,4,7.110874
-1.0,4,7.115833
-1.0,4,7.120836
-1.0,1,7.121895
-1.0,1,7.122877
-1.0,3,7.126153
-1.0,1,7.127089
-1.0,2,7.129193
-1.0,1,7.130188
-1.0,2,7.13242
-1.0,6,7.14116
-1.0,2,7.143591
-1.0,1,7.144611
-1.0,3,7.149288
-1.0,4,7.162477
-1.0,1,7.164015
-1.0,4,7.176647
-1.0,2,7.185415
-1.0,2,7.190295
-1,4,7.201669
-1.0,3,7.212939
-1.0,1,7.214574
-1.0,1,7.215858
-1,5,7.234954
-1.0,2,7.23908
-1.0,3,7.248344
-1.0,2,7.251288
-1.0,4,7.261576
-1.0,3,7.269414
-1,3,7.275609
-1.0,6,7.293555
-1.0,2,7.29755
-1,3,7.305322
-1.0,5,7.314776
-1,2,7.317465
-1.0,2,7.31986
-1.0,2,7.322249
-1.0,2,7.326023
