#{"t_start": 1642525102.3269677, "env_id": "Ataxx-v0"}
r,l,t
-1.0,9,176.997899
-1.0,6,177.013541
-1.0,6,177.029378
1,5,177.045659
-1.0,8,177.067138
-1.0,9,177.095822
-1.0,10,177.125611
-1,8,177.147168
-1,5,177.159508
-1.0,8,177.179261
-1.0,9,177.203785
-1.0,13,177.239354
-1.0,9,177.267967
-1.0,11,177.297254
-1.0,10,177.326938
-1.0,8,177.350543
-1.0,4,177.358748
-1,10,177.388685
-1.0,10,177.426007
-1.0,9,177.460827
-1.0,10,177.485295
-1.0,9,177.50322
-1.0,10,177.533494
-1.0,7,177.549165
-1.0,10,177.5753
-1.0,10,177.611622
-1.0,8,177.643443
-1.0,14,177.702365
-1,9,177.732979
-1.0,9,177.760874
-1,5,177.776183
-1.0,5,177.790219
-1.0,10,177.818509
-1.0,10,177.846122
1,5,177.857065
-1.0,8,177.875357
-1,11,177.901789
-1.0,6,177.913885
-1.0,11,177.939899
-1.0,7,177.953385
-1.0,10,177.975581
-1.0,10,178.000244
-1.0,12,178.025304
-1,5,178.034741
-1,7,178.050592
-1.0,9,178.068327
-1,8,178.083813
-1.0,8,178.102457
-1.0,9,179.504318
-1.0,4,179.512664
-1.0,9,179.52883
-1.0,11,179.546901
-1.0,10,179.564558
-1,8,179.57984
-1.0,11,179.603359
-1.0,8,179.62095
-1.0,6,179.629845
-1.0,10,179.647069
-1.0,14,179.6748
-1.0,10,179.692569
-1.0,9,179.707237
-1.0,7,179.719526
-1.0,8,179.733878
-1.0,10,179.751722
-1.0,9,179.76615
-1.0,7,179.776903
-1.0,10,179.795139
-1,6,179.804826
-1.0,7,179.815989
-1.0,7,179.828609
-1.0,10,179.847027
-1.0,6,179.856104
-1.0,11,179.876412
-1.0,7,179.891383
-1.0,6,179.901327
-1.0,12,179.922342
-1.0,5,179.931186
-1.0,10,179.94981
-1.0,9,179.96648
-1.0,8,179.991342
-1,12,180.027495
-1.0,12,180.049631
-1,8,180.065336
-1.0,7,180.078407
-1.0,11,180.098922
-1.0,12,180.124892
-1.0,9,180.155956
-1.0,11,180.177681
-1.0,10,180.196838
-1.0,12,180.220759
-1.0,11,180.24487
-1.0,8,180.258215
-1.0,8,180.273607
-1,8,180.290318
-1.0,8,180.306446
-1.0,5,180.314456
-1.0,13,180.34143
-1.0,8,180.35613
-1.0,13,180.384401
-1.0,8,180.400952
-1.0,7,180.413698
-1.0,13,180.441072
-1.0,6,180.451172
-1.0,10,180.471399
-1.0,1,180.472955
-1,6,180.484599
-1.0,10,180.510139
-1.0,6,180.521528
-1,6,180.534046
-1.0,6,180.544739
-1.0,7,180.558308
-1,7,180.571627
-1.0,7,180.583521
-1.0,7,180.597128
-1.0,14,180.626086
-1.0,8,180.640242
-1.0,9,180.657565
-1.0,10,180.678321
-1.0,5,180.68838
-1.0,10,180.707592
-1.0,6,180.71731
-1.0,10,180.736989
-1.0,8,180.752163
-1.0,4,180.758024
-1.0,9,180.774054
-1.0,8,180.78858
-1,9,180.806825
-1,8,180.823396
-1,6,180.834594
-1,6,180.845563
-1.0,7,180.857219
-1.0,9,180.875129
-1,7,180.8885
-1,9,180.905197
-1.0,5,180.913596
-1.0,7,180.925345
-1.0,7,180.938184
-1.0,6,180.949421
-1.0,9,180.965478
-1.0,11,180.986115
-1.0,6,180.997334
-1,10,181.016725
-1,5,181.025431
-1.0,9,181.042102
-1.0,12,181.068718
-1,9,181.086573
-1.0,13,181.113242
-1,11,181.13706
-1.0,7,181.149311
-1.0,11,181.171098
-1.0,12,181.196639
-1,3,181.201847
-1.0,6,181.211264
-1.0,9,181.227919
-1.0,7,181.240662
-1.0,13,181.26789
-1.0,9,181.283684
-1,3,181.288844
-1.0,10,181.308899
-1.0,11,181.332211
-1.0,9,181.34956
-1.0,8,181.365402
-1,5,181.37443
-1.0,6,181.385651
-1.0,4,181.392202
-1,6,181.404462
-1,7,181.418113
-1.0,7,181.431278
-1.0,11,181.454624
-1.0,8,181.469064
-1.0,14,181.498232
-1.0,6,181.507979
-1.0,9,181.524793
-1,4,181.531965
-1.0,8,181.547027
-1.0,11,181.567882
-1,14,181.598044
-1.0,10,181.615525
-1.0,5,181.623814
-1.0,13,181.651333
-1,13,181.677796
-1.0,10,181.698161
-1.0,14,181.729397
-1.0,2,181.731845
-1.0,10,181.7514
-1.0,11,181.772675
-1,6,181.784077
-1,5,181.792647
-1,4,181.799335
-1.0,11,181.821135
-1.0,5,181.830019
-1.0,11,181.85287
-1.0,8,181.868019
-1.0,9,181.883261
-1.0,9,181.900842
-1.0,12,181.926115
-1.0,11,181.948327
-1.0,13,181.97554
-1,9,181.994598
-1.0,10,182.01262
-1.0,5,182.020483
-1.0,11,182.041759
-1.0,9,182.059103
-1.0,8,182.073065
-1.0,9,182.089838
-1.0,5,182.099163
-1.0,10,182.119055
-1.0,9,182.13496
-1.0,11,182.15538
-1.0,10,182.174271
-1.0,10,182.19293
-1,11,182.215081
-1,6,182.225799
-1.0,6,182.236673
-1.0,9,182.25516
-1.0,7,182.266802
-1.0,6,182.276564
-1.0,7,182.288522
-1,13,182.316214
-1.0,7,182.328094
-1.0,7,182.340289
-1.0,7,182.353755
-1.0,9,182.370624
-1.0,6,182.379606
-1,10,182.399568
-1,7,182.413356
-1.0,12,182.444472
-1.0,16,182.481379
-1.0,10,182.499928
-1.0,4,182.505754
-1.0,12,182.528968
-1.0,8,182.542583
-1.0,9,182.55906
-1.0,10,182.577402
-1,8,182.592909
-1.0,8,182.608656
-1.0,6,182.619081
-1.0,9,182.634475
-1.0,9,182.65097
-1,12,182.676388
-1.0,6,182.686198
-1.0,10,182.704845
-1.0,5,182.712284
-1,8,182.728351
-1.0,11,182.751459
-1.0,12,182.774106
-1.0,8,182.789136
-1.0,8,182.803169
-1.0,12,182.827307
-1.0,6,182.837204
-1.0,7,182.848975
-1.0,8,182.863325
-1.0,7,182.876146
-1.0,8,182.889579
-1.0,9,182.905668
-1,10,182.924559
-1.0,9,182.94174
-1.0,7,182.953926
-1.0,5,182.961285
-1.0,9,182.977026
-1.0,7,182.992242
-1.0,4,183.001836
-1.0,9,183.01876
-1.0,6,183.028037
-1.0,14,183.056127
-1,6,183.068808
-1.0,8,183.082941
-1,8,183.098056
-1.0,8,183.112409
-1,6,183.124711
-1.0,11,183.147636
-1,4,183.154288
-1.0,7,183.165674
-1,11,183.190061
-1.0,7,183.20317
-1.0,12,183.226428
-1.0,10,183.246353
-1.0,13,183.280581
-1,9,183.2974
-1.0,9,183.317322
-1,9,183.336262
-1.0,11,183.357387
-1.0,6,183.36768
-1.0,8,183.383374
-1.0,10,183.403575
-1,11,183.425836
-1.0,18,184.780832
-1.0,10,184.802201
-1,5,184.811367
-1.0,11,184.834116
-1.0,14,184.868189
-1.0,6,184.879248
-1,7,184.89323
-1.0,9,184.907759
-1,6,184.918592
-1,7,184.930253
-1.0,13,184.955295
-1.0,9,184.976613
-1,4,184.982978
-1,7,184.99503
-1.0,8,185.008651
-1.0,7,185.02202
-1.0,14,185.052238
-1.0,6,185.06208
-1,4,185.069345
-1.0,9,185.087317
-1.0,13,185.11557
-1.0,11,185.136011
-1.0,7,185.14747
-1,10,185.168292
-1,9,185.186912
-1.0,7,185.198855
-1.0,8,185.213286
-1.0,10,185.231981
-1.0,9,185.250082
-1.0,11,185.269882
-1.0,7,185.281708
-1.0,11,185.301761
-1.0,7,185.313494
-1.0,7,185.325717
-1.0,8,185.340212
-1.0,12,185.362572
-1.0,13,185.388867
-1,6,185.399063
-1,6,185.409858
-1,8,185.425468
-1.0,11,185.447291
-1.0,7,185.459552
-1.0,13,185.485966
-1.0,8,185.500126
-1,7,185.512717
-1.0,6,185.522709
-1.0,12,185.54739
-1.0,5,185.55583
-1,12,185.582331
-1.0,10,185.600341
-1.0,12,185.624261
-1,7,185.637244
-1,6,185.648283
-1.0,9,185.664557
-1,9,185.689332
-1,12,185.717102
-1.0,9,185.733125
-1.0,6,185.743994
-1.0,9,185.761104
-1.0,12,185.785503
-1.0,7,185.797161
1,6,185.809458
-1,10,185.828621
-1.0,9,185.845614
-1.0,5,185.85344
-1,9,185.87003
-1.0,6,185.880148
-1.0,15,185.912193
-1,6,185.922844
-1.0,6,185.932566
-1.0,7,185.94521
-1,7,185.959032
-1.0,14,185.98868
-1.0,5,185.995769
-1,4,186.002468
-1.0,8,186.017276
-1.0,14,186.045502
-1.0,9,186.061845
-1.0,6,186.072471
-1.0,16,186.107134
-1.0,7,186.119959
-1,7,186.132679
-1,7,186.147158
-1.0,11,186.166781
-1.0,9,186.181791
-1.0,7,186.194848
-1,8,186.209829
-1,5,186.217963
-1.0,14,186.247351
-1.0,14,186.276556
-1,7,186.289056
-1,7,186.301721
-1.0,6,186.311865
-1.0,7,186.324246
-1.0,13,186.349441
-1.0,7,186.361953
-1.0,9,186.379342
-1,7,186.3922
-1,10,186.41324
-1.0,11,186.434252
-1,9,186.453056
-1.0,13,186.48032
-1.0,10,186.499609
-1.0,13,186.525915
-1.0,7,186.540308
-1.0,8,186.553982
-1.0,13,186.579336
-1.0,4,186.58606
-1.0,10,186.60692
-1.0,10,186.625437
-1.0,14,186.653364
-1.0,9,186.670445
-1.0,9,186.687534
-1.0,11,186.708769
-1.0,9,186.72641
-1.0,9,186.744114
-1,8,186.758796
-1,10,186.778444
-1,4,186.785347
-1.0,3,186.789711
-1.0,13,186.816366
-1,8,186.831622
-1.0,14,186.861573
-1,3,186.86645
-1.0,10,186.885228
-1.0,11,186.906704
-1.0,12,186.930333
-1,8,186.947885
-1,10,186.967156
-1.0,13,186.992484
-1.0,9,187.009478
-1.0,7,187.020319
-1.0,12,187.043227
-1,14,187.074519
-1,5,187.082696
-1.0,9,187.097987
-1.0,6,187.10748
-1.0,6,187.117604
-1.0,2,187.120608
-1.0,17,187.156036
-1.0,6,187.165581
-1.0,8,187.180676
-1.0,10,187.199152
-1,10,187.221709
-1,13,187.247636
-1,9,187.267028
-1.0,7,187.280588
-1.0,7,187.293975
-1.0,7,187.30506
-1.0,10,187.322632
-1,7,187.335639
-1.0,7,187.351549
-1.0,9,187.374187
-1,6,187.391994
-1.0,11,187.425738
-1.0,5,187.434747
-1.0,11,187.4637
-1.0,11,187.49011
-1.0,9,187.509766
-1.0,6,187.52207
-1.0,13,187.55535
-1.0,12,187.581819
-1.0,13,187.610952
-1.0,11,187.636765
-1.0,7,187.655864
-1.0,8,187.681556
-1.0,9,187.699017
-1.0,12,187.727303
-1.0,9,187.746694
-1.0,6,187.756608
-1.0,8,187.774392
-1,7,187.789682
-1.0,12,187.813379
-1.0,6,187.823156
-1.0,17,187.859884
-1.0,15,187.891344
-1.0,6,187.900898
-1.0,9,187.919507
-1.0,9,187.937626
-1.0,9,187.953413
-1.0,12,187.978636
-1.0,12,188.004367
-1.0,8,188.020367
-1.0,9,188.039254
-1,6,188.055062
-1,7,188.072403
-1.0,8,188.092922
-1.0,6,188.109441
-1.0,10,188.134305
-1.0,11,188.165725
-1,9,188.191333
-1,8,188.212535
-1.0,12,188.246596
-1.0,12,188.279527
-1.0,8,188.297724
-1.0,8,188.318977
-1.0,8,188.339812
-1,8,188.36149
-1,5,188.376237
-1.0,8,188.3954
-1.0,9,188.419122
-1,5,188.431832
-1,8,188.453258
-1.0,11,188.48289
-1,7,188.499628
-1.0,11,188.529299
-1.0,10,188.548883
-1.0,9,188.565546
-1.0,9,188.582115
-1.0,6,188.593152
-1,7,188.605786
-1,9,188.623342
-1.0,8,188.639464
-1.0,10,188.659153
-1.0,9,188.67594
-1.0,10,188.697886
-1.0,11,188.73256
-1.0,12,188.767651
-1.0,7,188.785421
-1.0,11,188.814777
-1.0,12,188.850794
-1.0,12,188.88751
-1.0,11,188.920125
-1.0,13,188.957041
-1.0,9,188.981735
-1.0,7,189.001957
-1,7,189.021194
-1.0,8,189.044437
-1,6,189.059161
-1.0,10,190.582336
-1.0,6,190.593127
-1.0,15,190.625988
-1.0,7,190.640847
-1.0,8,190.656707
-1,9,190.676365
-1,9,190.695948
-1.0,7,190.711954
-1.0,7,190.725268
-1.0,14,190.758001
-1.0,3,190.762905
-1.0,8,190.780889
-1.0,7,190.796067
-1.0,8,190.81382
-1,8,190.840643
-1.0,6,190.856566
-1.0,6,190.868842
-1.0,11,190.898974
-1,8,190.920282
-1.0,10,190.947822
-1.0,8,190.967855
-1.0,9,190.990297
-1.0,9,191.007953
-1,5,191.018054
-1,7,191.033853
-1.0,12,191.061101
-1.0,7,191.074811
1,6,191.087008
-1.0,10,191.110141
-1,8,191.127542
-1.0,8,191.143326
-1.0,9,191.165682
-1,6,191.180324
-1.0,7,191.200395
-1.0,5,191.214641
-1,6,191.229599
-1.0,10,191.255659
-1.0,7,191.275634
-1.0,9,191.29554
-1,13,191.33274
-1.0,13,191.370943
-1.0,9,191.392947
-1.0,8,191.411457
-1.0,11,191.440824
-1.0,5,191.452511
-1.0,11,191.482731
-1,7,191.499314
-1.0,8,191.516764
-1.0,5,191.528806
-1.0,8,191.547148
-1.0,10,191.570216
-1,10,191.601423
-1.0,10,191.627079
-1,3,191.633889
-1.0,6,191.646304
-1,8,191.665558
-1.0,8,191.686178
-1.0,12,191.724682
-1.0,14,191.772788
-1.0,10,191.800335
-1,4,191.810252
-1,10,191.835331
-1.0,6,191.847828
-1,8,191.869786
-1.0,12,191.905783
-1.0,11,191.93766
-1.0,15,191.985341
-1.0,10,192.018918
-1.0,10,192.049318
-1.0,13,192.084668
-1.0,5,192.09305
-1.0,6,192.102229
-1,7,192.117048
-1.0,7,192.128646
-1.0,11,192.148134
-1.0,6,192.158992
-1.0,6,192.168369
-1.0,7,192.179056
-1.0,7,192.195534
-1.0,9,192.21977
-1.0,7,192.237106
-1,5,192.246686
-1,10,192.271584
-1.0,10,192.304657
-1.0,11,192.346074
-1.0,9,192.367129
-1.0,12,192.391975
-1,6,192.40287
-1,11,192.429803
-1.0,6,192.439951
-1.0,6,192.450118
-1.0,7,192.463765
-1.0,6,192.47507
-1.0,11,192.504118
-1.0,10,192.524882
-1.0,11,192.548417
-1.0,13,192.575481
-1.0,10,192.596504
-1.0,9,192.615522
-1.0,9,192.633666
-1,4,192.640072
-1,12,192.663735
-1,6,192.677022
-1.0,10,192.696974
-1.0,9,192.71289
-1,12,192.738374
-1.0,4,192.748978
-1.0,12,192.777676
-1.0,11,192.797965
-1,12,192.827399
-1.0,5,192.835209
-1,8,192.849704
-1.0,6,192.860809
-1.0,5,192.869075
-1,10,192.893467
-1.0,14,192.921839
-1.0,9,192.942905
-1.0,7,192.957498
-1.0,8,192.973384
-1.0,7,192.985395
-1.0,7,193.003621
-1.0,11,193.036676
-1,9,193.055885
-1,6,193.068105
-1.0,12,193.097487
-1.0,10,193.118818
-1.0,11,193.14362
-1.0,8,193.160975
-1,8,193.177758
-1.0,6,193.187495
-1.0,10,193.207163
-1.0,8,193.223082
-1.0,4,193.229791
-1.0,6,193.240492
-1.0,14,193.269848
-1.0,16,193.313997
-1.0,6,193.324508
-1,8,193.33874
-1.0,9,193.359639
-1,11,193.382032
-1,6,193.393959
-1.0,14,193.428897
-1.0,8,193.448697
-1,10,193.47664
-1.0,12,193.503417
-1.0,12,193.529353
-1.0,10,193.549497
-1,12,193.574364
-1.0,13,193.600617
-1.0,9,193.618769
-1,7,193.634138
-1.0,7,193.646471
-1.0,9,193.665614
-1,7,193.681066
-1.0,8,193.698169
-1.0,15,193.73219
-1.0,7,193.748855
-1.0,4,193.754886
-1.0,10,193.775676
-1,14,193.810629
-1.0,6,193.821354
-1.0,3,193.82681
-1.0,11,193.849082
-1,10,193.875171
-1,8,193.890851
-1.0,13,193.919193
-1.0,12,193.943527
-1.0,6,193.953395
-1.0,12,193.979802
-1,7,193.992614
-1.0,16,194.029263
-1,14,194.05894
-1.0,8,194.07558
-1.0,9,194.093874
-1.0,7,194.106851
-1,8,194.123304
-1.0,9,194.141574
-1.0,10,194.162969
-1.0,9,194.180953
-1,3,194.185866
-1.0,12,194.212723
-1.0,8,194.230925
-1.0,5,194.239963
-1.0,5,194.249453
-1,7,194.263994
-1,6,194.277165
-1.0,10,194.298561
-1.0,10,194.317882
-1,9,194.336226
-1.0,9,194.356715
-1,6,194.369996
-1.0,8,194.384791
-1.0,8,194.397743
-1.0,6,194.407183
-1,8,194.422262
-1.0,9,194.439597
-1,6,194.450466
-1.0,5,194.458699
-1.0,6,194.468329
-1.0,11,194.488521
-1.0,8,194.503141
-1.0,6,194.512564
-1.0,10,194.530924
-1,9,194.549881
-1,3,194.558542
-1,5,194.566839
-1,10,194.585149
-1.0,7,194.597179
-1.0,12,194.621779
-1.0,7,194.636362
-1.0,15,194.663738
-1,6,194.673135
-1,10,194.694495
-1.0,7,194.70537
-1.0,7,194.716511
-1.0,11,194.735236
-1,11,194.755913
-1.0,9,194.772172
-1.0,8,194.785174
-1,4,194.7909
-1.0,14,194.817767
-1.0,5,194.826424
-1,7,194.838346
-1.0,12,194.860385
-1.0,5,194.867548
-1.0,9,194.885058
-1.0,12,194.911125
-1.0,8,194.922771
-1.0,11,194.941029
-1,9,194.959581
-1.0,9,194.974507
-1.0,15,195.003069
-1.0,11,195.023887
-1.0,14,195.051101
-1,11,195.070215
-1.0,9,196.370389
-1.0,7,196.383945
-1,14,196.417507
-1.0,10,196.43815
-1.0,7,196.451367
-1.0,6,196.462568
-1,6,196.473703
-1,5,196.483467
-1.0,7,196.496016
-1,15,196.531223
-1.0,5,196.540407
-1,4,196.549041
-1.0,5,196.558157
-1.0,10,196.577983
-1,10,196.599711
-1.0,12,196.626816
-1.0,12,196.652629
-1,7,196.66682
-1.0,10,196.688171
-1.0,11,196.710624
-1.0,7,196.722267
-1.0,11,196.746778
-1,12,196.77228
-1.0,5,196.782158
-1.0,10,196.802994
-1.0,9,196.821921
-1.0,14,196.851677
-1.0,9,196.86981
-1.0,8,196.885375
-1.0,12,196.911298
-1,7,196.924821
-1.0,17,196.964109
-1.0,5,196.972861
-1.0,8,196.987883
-1,14,197.020491
-1,4,197.027436
-1.0,12,197.052709
-1,9,197.071405
-1.0,9,197.091286
-1.0,15,197.123966
-1.0,9,197.150461
-1.0,7,197.163723
-1.0,10,197.185523
-1.0,16,197.222548
-1.0,7,197.234841
-1,8,197.252527
-1.0,11,197.276984
-1.0,9,197.294731
-1.0,11,197.319441
-1.0,16,197.357827
-1.0,8,197.372735
-1,10,197.395603
-1.0,17,197.43469
-1.0,9,197.452996
-1.0,8,197.469164
-1.0,14,197.50245
-1.0,10,197.52706
-1.0,6,197.540225
-1,7,197.555328
-1.0,10,197.575982
-1.0,8,197.593791
-1,13,197.629519
-1,8,197.647144
-1.0,6,197.657761
-1.0,8,197.674379
-1.0,10,197.694464
-1.0,7,197.706614
-1,8,197.722693
-1.0,12,197.74859
-1.0,8,197.763306
-1.0,10,197.783883
-1,11,197.808731
-1.0,9,197.825865
-1,6,197.836744
-1.0,10,197.856434
-1,7,197.87063
-1.0,8,197.886606
-1.0,11,197.909249
-1.0,9,197.925906
-1,7,197.942576
-1,5,197.953948
-1,5,197.963117
-1.0,6,197.973026
-1.0,5,197.982349
-1,12,198.011008
-1,12,198.040825
-1,7,198.054118
-1,5,198.065988
-1,7,198.082126
-1,5,198.091921
-1.0,5,198.100702
-1,5,198.109808
-1.0,5,198.119177
-1,7,198.135805
-1.0,5,198.145986
-1.0,10,198.165996
-1.0,15,198.19317
-1.0,11,198.213517
-1.0,9,198.227832
-1,8,198.241077
-1,7,198.252872
-1.0,4,198.258463
-1.0,9,198.272927
-1.0,7,198.284198
-1,13,198.308145
-1,6,198.317816
-1.0,14,198.343556
-1.0,7,198.355242
1,8,198.368904
-1,5,198.377035
-1.0,9,198.392406
-1,8,198.407025
-1,9,198.424003
-1.0,8,198.435902
-1,10,198.453236
-1.0,12,198.475806
-1.0,9,198.491599
-1,9,198.507205
-1.0,7,198.518857
-1,6,198.529721
-1.0,10,198.54772
-1.0,13,198.572053
-1,5,198.57965
-1.0,5,198.587157
-1,8,198.602184
-1.0,10,198.619855
-1.0,8,198.633734
-1.0,15,198.662583
-1.0,3,198.667293
-1.0,8,198.681846
-1.0,8,198.695207
-1.0,12,198.716604
-1.0,15,198.745072
-1.0,5,198.753486
-1,6,198.763148
-1.0,2,198.765753
-1.0,7,198.775849
-1,9,198.792441
-1.0,5,198.800817
-1.0,12,198.823453
-1.0,10,198.839399
-1.0,7,198.850509
-1.0,15,198.880496
-1.0,5,198.887762
-1.0,5,198.894542
-1,7,198.906538
-1.0,6,198.919082
-1.0,6,198.92888
-1,6,198.938634
-1,5,198.947225
-1.0,5,198.955427
-1,8,198.969341
-1.0,11,198.988263
-1,10,199.009994
-1.0,7,199.022571
-1,7,199.033511
-1.0,10,199.052514
-1.0,6,199.062444
-1,4,199.069196
-1.0,3,199.073231
-1.0,16,199.111826
-1.0,7,199.122813
-1,10,199.141778
-1,4,199.14862
-1.0,10,199.164384
-1.0,11,199.185415
-1.0,9,199.200689
-1.0,10,199.219632
-1,7,199.230918
-1.0,5,199.238681
-1.0,9,199.252547
-1.0,10,199.270486
-1.0,10,199.288229
-1.0,10,199.304281
-1.0,8,199.31689
-1.0,6,199.325529
-1.0,13,199.350583
-1,10,199.3684
-1.0,11,199.38619
-1,5,199.39397
-1,10,199.41162
-1,9,199.428504
-1.0,11,199.446326
-1.0,13,199.46974
-1.0,8,199.483995
-1,6,199.493962
-1,7,199.504985
-1.0,6,199.513104
-1.0,9,199.527854
1,7,199.539345
-1.0,8,199.55296
-1,9,199.567239
-1,12,199.588615
-1.0,11,199.607114
-1.0,10,199.624719
-1.0,10,199.641594
-1.0,8,199.653814
-1,8,199.669231
-1,7,199.68228
-1,5,199.689713
-1.0,7,199.700365
-1.0,10,199.717034
-1.0,12,199.740093
-1,6,199.753843
-1,8,199.766629
-1.0,8,199.778661
-1.0,6,199.786853
-1,11,199.809138
-1.0,8,199.823171
-1.0,5,199.829678
-1.0,10,199.845509
-1,5,199.854149
-1.0,7,199.868753
-1.0,10,199.889815
-1.0,11,199.907927
-1.0,9,199.922426
-1,10,199.941076
-1.0,6,199.950876
-1.0,9,199.96531
-1.0,9,199.980345
-1.0,11,200.000823
-1.0,13,200.025709
-1,5,200.033035
-1,4,200.039177
-1.0,9,200.05237
-1.0,10,200.070871
-1.0,10,200.089768
-1.0,14,200.114161
-1.0,11,200.136323
-1.0,10,200.158175
-1.0,8,200.170671
-1,6,200.180671
-1,14,200.210249
-1.0,8,200.22514
-1,5,200.232864
-1.0,13,200.257306
-1.0,7,200.268358
-1,11,201.580821
-1.0,10,201.600735
-1,9,201.618927
-1.0,7,201.632492
-1.0,8,201.646252
-1.0,14,201.675962
-1,9,201.69498
-1,5,201.703799
-1,8,201.719993
-1,6,201.730813
-1.0,14,201.76391
-1.0,8,201.778213
-1,8,201.793075
-1.0,12,201.821424
-1.0,9,201.838136
-1.0,8,201.853361
-1.0,7,201.866179
-1.0,13,201.899095
-1.0,11,201.919869
-1.0,7,201.933042
-1,12,201.960329
-1.0,9,201.977514
-1.0,7,201.991082
-1.0,10,202.010885
-1.0,10,202.03353
-1.0,9,202.048956
-1.0,13,202.077806
-1.0,3,202.082615
-1.0,8,202.096169
-1.0,6,202.106374
-1,6,202.117864
-1.0,8,202.132469
-1.0,9,202.155537
-1.0,10,202.177123
-1.0,15,202.210739
-1.0,5,202.226019
-1.0,12,202.250662
-1,9,202.271085
-1,8,202.290216
-1.0,7,202.303039
-1.0,14,202.336753
-1.0,4,202.343595
-1.0,6,202.355333
-1.0,7,202.368165
-1.0,6,202.378783
-1.0,4,202.386417
-1,7,202.399652
-1.0,9,202.424996
-1,4,202.431922
-1,8,202.447465
-1,7,202.460731
-1,11,202.48686
-1.0,10,202.505211
-1.0,15,202.538199
-1.0,12,202.564548
-1.0,10,202.584068
-1.0,14,202.614953
-1.0,9,202.631977
-1.0,11,202.653816
-1,7,202.669811
-1.0,10,202.695632
-1.0,14,202.723418
-1,9,202.742534
-1.0,14,202.771897
-1.0,9,202.79026
-1.0,7,202.805558
-1.0,12,202.831793
-1,9,202.849092
-1,10,202.872088
-1.0,9,202.889525
-1.0,13,202.914664
-1,12,202.944849
-1.0,12,202.973857
-1,12,202.998223
-1,7,203.013392
-1,8,203.028975
-1,10,203.047342
-1.0,7,203.061253
-1.0,9,203.079838
-1.0,6,203.092577
-1,7,203.103923
-1.0,13,203.128968
-1.0,6,203.141192
-1.0,8,203.155853
-1.0,10,203.174234
-1.0,11,203.196197
-1.0,11,203.22521
-1.0,11,203.246178
-1,7,203.258954
-1,11,203.28128
-1.0,7,203.294869
-1.0,17,203.331621
-1.0,10,203.354185
-1.0,13,203.381277
-1.0,7,203.394227
-1,4,203.40282
-1.0,8,203.418306
-1.0,11,203.440594
-1.0,8,203.45718
-1.0,7,203.472034
-1,5,203.481335
-1,11,203.508231
-1,7,203.521621
-1,11,203.545901
-1.0,8,203.559982
-1.0,8,203.574439
-1.0,11,203.598934
-1,7,203.611871
-1.0,9,203.629164
-1,5,203.639985
-1.0,16,203.677027
-1.0,16,203.71698
-1,4,203.724041
-1.0,11,203.74737
-1,6,203.759765
-1.0,11,203.783608
-1.0,8,203.79889
-1.0,9,203.817805
-1,6,203.829795
-1.0,12,203.852947
-1,7,203.867646
-1,6,203.879849
-1.0,15,203.913421
-1.0,12,203.940986
-1,10,203.964142
-1,6,203.974577
-1,12,203.999355
-1,13,204.02972
-1,12,204.054544
-1,9,204.073011
-1.0,10,204.092329
-1.0,10,204.110665
-1.0,11,204.130677
-1.0,15,204.164091
-1,13,204.193698
-1,7,204.208234
-1.0,8,204.223712
-1.0,4,204.230179
-1.0,11,204.252129
-1.0,7,204.265339
-1.0,6,204.277631
-1.0,8,204.293785
-1.0,3,204.297862
-1,10,204.326524
-1.0,9,204.343819
-1,6,204.354769
-1.0,7,204.369056
-1.0,11,204.393307
-1.0,7,204.407797
-1.0,4,204.413459
-1.0,10,204.432495
-1.0,10,204.450893
-1.0,14,204.480485
-1.0,13,204.507727
-1.0,7,204.521943
-1.0,10,204.541446
-1,7,204.553377
-1,5,204.564689
-1.0,6,204.5754
-1.0,13,204.602491
-1.0,9,204.620117
-1.0,13,204.645564
-1,10,204.667383
-1,11,204.688613
-1.0,7,204.702271
1,7,204.715222
-1.0,8,204.731531
-1.0,14,204.759158
-1,9,204.777333
-1.0,6,204.787866
-1.0,12,204.812434
-1.0,6,204.822015
-1,11,204.845105
-1,10,204.865149
-1.0,10,204.883174
-1,8,204.899181
-1.0,6,204.910287
-1.0,11,204.931797
-1.0,7,204.944536
-1.0,13,204.971032
-1,10,204.991927
-1.0,8,205.006949
-1,12,205.031661
-1,7,205.045151
-1.0,7,205.058644
-1.0,15,205.089316
-1.0,4,205.095875
-1,11,205.118358
-1.0,10,205.138349
-1,8,205.154002
-1.0,7,205.166919
-1.0,8,205.183461
-1.0,7,205.197338
-1.0,9,205.213838
-1,9,205.230308
-1.0,15,205.26264
-1.0,8,205.276949
-1.0,9,205.294666
1,7,205.308572
-1,5,205.317521
-1.0,8,205.332995
-1.0,7,205.344744
-1.0,9,205.364019
-1.0,13,205.392424
-1.0,5,205.400616
-1.0,10,205.422098
-1.0,13,205.45408
-1.0,9,205.472025
-1,7,205.485283
-1.0,4,205.492885
-1,11,205.514695
-1.0,8,205.531615
-1.0,9,205.549546
-1,12,205.575641
-1.0,16,205.610654
-1.0,9,205.628442
-1,10,205.648875
-1,8,205.667731
-1,8,205.684314
-1.0,10,205.705884
-1.0,10,205.72596
-1.0,9,205.74124
-1,4,205.747641
-1.0,8,205.76266
-1.0,7,207.116894
-1.0,8,207.130543
-1.0,11,207.15842
-1.0,13,207.185986
-1,9,207.202336
-1.0,7,207.215809
-1.0,16,207.248776
-1.0,7,207.260323
-1,14,207.292636
