#{"t_start": 1642525102.3269677, "env_id": "Ataxx-v0"}
r,l,t
-1,1,3.447136
-1.0,1,3.448269
-1.0,1,3.449737
-1.0,1,3.451598
-1.0,4,3.45833
-1.0,2,3.461118
-1.0,7,3.476539
-1.0,3,3.482743
-1.0,5,3.496147
-1.0,1,3.497507
-1.0,2,3.501296
-1.0,1,3.502905
-1.0,2,3.506822
-1.0,3,3.513617
-1,1,3.51495
-1.0,1,3.516547
-1.0,1,3.518105
-1.0,1,3.520449
-1.0,2,3.524186
-1,1,3.52545
-1.0,1,3.526878
-1.0,1,3.528678
-1.0,1,3.530084
-1.0,5,3.541839
-1.0,1,3.543304
-1.0,2,3.547853
-1.0,1,3.549683
-1.0,3,3.561159
-1.0,2,3.567227
-1.0,4,3.578466
-1.0,5,3.590881
-1,2,3.594032
-1.0,5,3.609018
-1,1,3.610428
-1.0,2,3.614626
-1.0,3,3.62154
-1.0,1,3.623063
-1.0,1,3.624385
-1.0,9,3.648549
-1.0,5,3.662915
-1.0,1,3.66469
-1,1,3.666154
-1.0,1,3.668991
-1.0,6,3.68472
-1.0,5,3.699929
-1.0,2,3.706227
-1,2,3.711951
-1.0,1,3.714236
-1.0,1,3.717905
-1.0,2,3.722249
-1,1,3.724207
-1.0,1,3.725605
-1.0,2,3.729441
-1.0,5,3.738206
-1.0,2,3.742506
-1.0,4,3.750571
-1.0,1,3.752098
-1.0,2,3.757544
-1.0,1,3.760026
-1.0,5,3.772126
-1.0,2,3.775355
-1.0,1,3.778301
-1.0,5,3.788421
-1.0,3,3.7966
-1.0,2,3.7995
-1.0,2,3.803967
-1.0,5,3.814044
-1,1,3.815273
-1.0,7,3.829956
-1.0,2,3.832711
-1,2,3.835176
-1.0,10,3.858855
-1.0,3,3.864012
-1.0,5,3.872686
-1.0,2,3.876195
-1.0,3,3.881625
-1.0,1,3.882949
-1.0,4,3.892877
-1.0,4,3.900021
-1.0,7,3.915549
-1.0,3,3.920538
-1.0,1,3.921769
-1.0,2,3.925163
-1.0,1,3.926322
-1.0,4,3.933917
-1.0,2,3.938468
-1.0,2,3.942188
-1.0,2,3.945018
-1.0,2,3.948451
-1.0,1,3.949789
-1.0,1,3.950908
-1.0,3,3.958188
-1.0,1,3.960094
-1.0,2,3.963073
-1.0,1,3.964596
-1,1,3.965876
-1.0,6,3.980224
-1.0,2,3.98296
-1.0,3,3.987822
-1.0,7,4.003505
-1.0,4,4.011261
-1.0,1,4.012459
-1.0,1,4.014261
-1.0,1,4.015627
-1.0,1,4.016933
-1.0,1,4.018168
-1.0,1,4.020481
-1.0,6,4.033731
-1.0,1,4.035053
-1.0,1,4.036446
-1.0,4,4.044307
-1,1,4.045788
-1.0,3,4.05033
-1.0,3,4.055789
-1.0,1,4.057749
-1.0,1,4.05895
-1.0,3,4.064037
-1,2,4.066812
-1.0,2,4.07056
-1.0,2,4.073677
-1.0,2,4.077482
-1.0,1,4.078802
-1.0,2,4.082823
-1.0,1,4.084029
-1.0,4,4.093238
-1.0,5,4.103585
-1.0,1,4.107069
-1.0,1,4.108907
-1.0,3,4.115513
-1.0,1,4.11751
-1.0,3,4.203931
-1.0,1,4.205372
-1.0,1,4.20653
-1,4,4.21576
-1.0,2,4.218684
-1.0,1,4.222038
-1.0,3,4.227755
-1.0,2,4.230645
-1.0,1,4.233556
-1.0,2,4.23859
-1.0,5,4.251265
-1.0,1,4.253
-1.0,3,4.259329
-1.0,1,4.260629
-1.0,3,4.266935
-1.0,4,4.277047
-1.0,2,4.281632
-1.0,1,4.283514
-1,2,4.288879
-1.0,1,4.290716
-1.0,3,4.297283
-1.0,2,4.301651
-1.0,2,4.307453
-1.0,3,4.314111
-1.0,2,4.318099
-1.0,1,4.319687
-1.0,1,4.320952
-1.0,6,4.334549
-1.0,2,4.338877
-1.0,1,4.339875
-1.0,2,4.343925
-1,1,4.344942
-1.0,1,4.34601
-1.0,6,4.361114
-1.0,1,4.362186
-1.0,3,4.36652
-1.0,4,4.377497
-1.0,4,4.383448
-1.0,5,4.391006
-1.0,3,4.395952
-1.0,1,4.397609
-1.0,7,4.409148
-1.0,5,4.416298
-1.0,3,4.422036
-1.0,9,4.440677
-1.0,2,4.443058
-1.0,3,4.448002
-1.0,2,4.450678
-1.0,2,4.453201
-1.0,4,4.459862
-1.0,5,4.469021
-1.0,3,4.474388
-1.0,2,4.477521
-1,2,4.480716
-1.0,1,4.482041
-1.0,1,4.483138
-1.0,3,4.488218
-1.0,2,4.491296
-1.0,1,4.492829
-1.0,1,4.494143
-1.0,1,4.495355
-1.0,3,4.499269
-1.0,3,4.503453
-1.0,2,4.508262
-1.0,2,4.511663
-1,2,4.514813
-1.0,4,4.521893
-1,6,4.531874
-1.0,2,4.53449
-1.0,4,4.540068
-1.0,1,4.541804
-1.0,4,4.547789
-1.0,1,4.548949
-1.0,3,4.557061
-1.0,3,4.56285
-1.0,6,4.574817
-1.0,3,4.579301
-1.0,1,4.580416
-1.0,5,4.587455
-1.0,6,4.596996
-1.0,4,4.603029
-1.0,1,4.604808
-1.0,2,4.607126
-1.0,1,4.60862
-1.0,2,4.61109
-1.0,3,4.615547
-1.0,5,4.627419
-1.0,2,4.629811
-1.0,2,4.63222
-1,1,4.633171
-1.0,2,4.635403
-1.0,1,4.636908
-1,4,4.646477
-1.0,1,4.647579
-1.0,2,4.650036
-1.0,5,4.657632
-1,1,4.658619
-1,2,4.660863
-1,2,4.663864
-1.0,1,4.664926
-1.0,3,4.668927
-1.0,1,4.670044
-1.0,2,4.672507
-1.0,3,4.676902
-1.0,2,4.679158
-1.0,1,4.680633
-1.0,3,4.684826
-1.0,2,4.689309
-1.0,7,4.701274
-1.0,2,4.704805
-1.0,5,4.713333
-1.0,1,4.714348
-1.0,1,4.715419
-1.0,5,4.722589
-1.0,2,4.725437
-1.0,4,4.731313
-1.0,1,4.732306
-1.0,4,4.739189
-1.0,1,4.740224
-1.0,2,4.743255
-1.0,2,4.745549
-1.0,2,4.748679
-1.0,2,4.751263
-1.0,2,4.754927
-1.0,3,4.759468
-1.0,1,4.760712
-1.0,1,4.761787
-1.0,1,4.762941
-1.0,3,4.766706
-1.0,1,4.767776
-1.0,4,4.775289
-1.0,5,4.782991
-1.0,1,4.784015
-1.0,2,4.786372
-1.0,5,4.793827
-1.0,2,4.797079
-1.0,1,4.798174
-1.0,1,4.79912
-1.0,1,4.800061
-1.0,4,4.80586
-1.0,2,4.808689
-1,1,4.809681
-1.0,1,4.81074
-1,1,4.811674
-1.0,1,4.812743
-1.0,1,4.814372
-1.0,1,4.815434
-1.0,5,4.824101
-1.0,1,4.825781
-1.0,1,4.826998
-1,2,4.829236
-1.0,1,4.830296
-1.0,1,4.831447
-1.0,1,4.832537
-1.0,2,4.834833
-1.0,3,4.839826
-1.0,3,4.84434
-1.0,2,4.84701
-1.0,1,4.848068
-1.0,4,4.853748
-1.0,2,4.855895
-1.0,1,4.857286
-1.0,1,4.858369
-1.0,2,4.860642
-1.0,3,4.86537
-1.0,1,4.86644
-1.0,1,4.867694
-1,2,4.870114
-1.0,1,4.871579
-1.0,4,4.87763
-1.0,7,4.890835
-1.0,1,4.892557
-1.0,6,4.901737
-1.0,1,4.902708
-1.0,1,4.904308
-1.0,1,4.906592
-1.0,3,4.911686
-1.0,5,4.918954
-1.0,3,4.923589
-1.0,2,4.925895
-1.0,1,4.926948
-1.0,3,4.931101
-1.0,6,4.940971
-1.0,1,4.94253
-1.0,3,4.946562
-1.0,1,4.947669
-1.0,2,4.949958
-1.0,2,4.95247
-1.0,6,4.96369
-1.0,3,4.968258
-1.0,3,4.973236
-1.0,2,4.975536
-1.0,6,4.984908
-1.0,1,4.985898
-1.0,3,4.990244
-1.0,1,4.991237
-1.0,2,4.993737
-1.0,1,4.995118
-1,1,4.996423
-1.0,1,4.997402
-1.0,3,5.001164
-1.0,5,5.009008
-1.0,1,5.010105
-1,6,5.019817
-1.0,4,5.026838
-1,5,5.034375
-1.0,2,5.036983
-1.0,1,5.039806
-1.0,3,5.04445
-1,2,5.04682
-1,2,5.048915
-1.0,1,5.050097
-1.0,1,5.051165
-1,3,5.055037
-1.0,2,5.057465
-1.0,1,5.058546
-1.0,4,5.064221
-1.0,1,5.065206
-1.0,1,5.066263
-1.0,4,5.071636
-1.0,1,5.072713
-1.0,1,5.073766
-1.0,1,5.07528
-1.0,1,5.076385
-1.0,1,5.077447
-1.0,4,5.083626
-1.0,1,5.084627
-1,3,5.08966
-1.0,8,5.102597
-1.0,1,5.104383
-1.0,5,5.112988
-1.0,1,5.114082
-1.0,1,5.115141
-1.0,5,5.122603
-1.0,1,5.124108
-1.0,3,5.127946
-1.0,1,5.129529
-1.0,3,5.133506
-1.0,1,5.134709
-1.0,2,5.137375
-1.0,5,5.145812
-1.0,1,5.147166
-1.0,1,5.148599
-1.0,3,5.152712
-1.0,1,5.154391
-1.0,3,5.159053
-1.0,3,5.163149
-1.0,1,5.164124
-1.0,3,5.168766
-1,1,5.169784
-1.0,3,5.175828
-1,2,5.178982
-1.0,2,5.181402
-1.0,4,5.186898
-1.0,1,5.187862
-1.0,3,5.191837
-1.0,1,5.192917
-1.0,5,5.200573
-1.0,4,5.206228
-1.0,1,5.207408
-1.0,1,5.209146
-1.0,1,5.210128
-1.0,6,5.219361
-1.0,2,5.222815
-1,3,5.227245
-1.0,1,5.228243
-1.0,2,5.230649
-1.0,2,5.233392
-1,8,5.247715
-1.0,1,5.248707
-1.0,1,5.249692
-1.0,3,5.253384
-1.0,1,5.254523
-1.0,1,5.255487
-1.0,2,5.2583
-1.0,3,5.262603
-1.0,1,5.263872
-1.0,1,5.264838
-1.0,5,5.272647
-1.0,1,5.273763
-1.0,5,5.282449
-1.0,2,5.284741
-1.0,3,5.289083
-1.0,6,5.299119
-1.0,4,5.305281
-1.0,4,5.312495
-1,2,5.314785
-1.0,1,5.315839
-1.0,2,5.318372
-1.0,4,5.324115
-1.0,5,5.331843
-1,4,5.337665
-1.0,2,5.339937
-1.0,2,5.342824
-1.0,1,5.343916
-1.0,1,5.34498
-1.0,4,5.350518
-1.0,3,5.355198
-1.0,3,5.360153
-1.0,2,5.36248
-1.0,6,5.373234
-1.0,3,5.377761
-1.0,3,5.381664
-1.0,1,5.382873
-1.0,1,5.383839
-1.0,2,5.386114
-1.0,3,5.390241
-1.0,9,5.406361
-1.0,3,5.410427
-1,3,5.414512
-1.0,1,5.415521
-1.0,3,5.419381
-1.0,4,5.426181
-1.0,4,5.432421
-1.0,1,5.433626
-1.0,6,5.44836
-1,2,5.45092
-1.0,1,5.451882
-1,1,5.452833
-1.0,3,5.457173
-1.0,1,5.458273
-1.0,3,5.462427
-1.0,2,5.464855
-1.0,2,5.467067
-1,1,5.468214
-1.0,2,5.470512
-1.0,1,5.471576
-1.0,3,5.475808
-1.0,3,5.479847
-1.0,2,5.482503
-1.0,1,5.483568
-1,1,5.484513
-1.0,1,5.485569
-1.0,2,5.489025
-1.0,5,5.496986
-1,3,5.501253
-1.0,1,5.502334
-1.0,3,5.507883
-1.0,4,5.514056
-1.0,3,5.518012
-1,2,5.520365
-1.0,1,5.521453
-1.0,3,5.525631
-1.0,4,5.531529
-1.0,2,5.533874
-1.0,7,5.545744
-1.0,4,5.552395
-1.0,1,5.553576
-1.0,2,5.556508
-1.0,7,5.568216
-1.0,5,5.57749
-1.0,1,5.578822
-1.0,1,5.579805
-1.0,3,5.583835
-1.0,2,5.586082
-1.0,1,5.58721
-1.0,10,5.604417
-1.0,5,5.61187
-1.0,1,5.612845
-1,2,5.615839
-1.0,4,5.621862
-1.0,2,5.624802
-1.0,10,5.644612
-1.0,1,5.645707
-1.0,1,5.646776
-1.0,1,5.647829
-1.0,1,5.648782
-1.0,4,5.654566
-1.0,3,5.658694
-1.0,4,5.66478
-1.0,1,5.665747
-1.0,1,5.666693
-1.0,2,5.669336
-1.0,1,5.670442
-1.0,3,5.675405
-1.0,3,5.679299
-1.0,3,5.683899
-1.0,2,5.686408
-1.0,2,5.689344
-1.0,4,5.69562
-1.0,1,5.696599
-1.0,1,5.697659
-1.0,3,5.702247
-1,2,5.706166
-1.0,1,5.707538
-1.0,1,5.709038
-1.0,5,5.717883
-1.0,2,5.720153
-1,6,5.729938
-1.0,1,5.731085
-1.0,4,5.736561
-1.0,4,5.74291
